timestamp_utc,timestamp_local,local_date,source_period,settlement_price_gbp_per_mwh,optimisation_price_gbp_per_mwh,inflexible_cpu,flexible_cpu_processed,total_cpu,p_it_total_kw,p_grid_it_kw,p_ups_charge_kw,p_ups_discharge_kw,p_chiller_hvac_kw,p_chiller_tes_kw,q_tes_charge_kw,q_tes_discharge_kw,grid_import_kw,settlement_cost_gbp,state_start_ups_energy_kwh,state_start_tes_energy_kwh,state_start_it_temperature_c,state_start_rack_temperature_c,state_start_cold_aisle_temperature_c,state_start_hot_aisle_temperature_c,state_end_ups_energy_kwh,state_end_tes_energy_kwh,state_end_it_temperature_c,state_end_rack_temperature_c,state_end_cold_aisle_temperature_c,state_end_hot_aisle_temperature_c
2025-12-31T00:00:00+00:00,2025-12-31T00:00:00+00:00,2025-12-31,1,83.36,83.36,0.28,0.073623788646684,0.353623788646684,377.995000173487,377.995000173487,-0,0,127.518390131772,-0,0,0,558.60839030526,11.6413988539616,300,-0,37.1998825726228,31.3266834901448,23,31.3279095463386,300,-0,33.508140827178,29.367118335733,23,29.3995526021967
2025-12-31T00:15:00+00:00,2025-12-31T00:15:00+00:00,2025-12-31,1,83.36,83.36,0.27,0.2601,0.5301,533.146812819533,533.146812819533,0,0,132.08056093002,0,-0,0,718.322373749554,14.9698382689407,300,-0,33.508140827178,29.367118335733,23,29.3995526021967,300,-0,34.3655727531464,29.6302405956967,23,29.6264246892347
2025-12-31T00:30:00+00:00,2025-12-31T00:30:00+00:00,2025-12-31,1,83.36,83.36,0.26,0.3517,0.6117,604.886725042436,604.886725042436,0,0,146.111420296205,0,-0,0,804.093145338641,16.7573011488573,300,-0,34.3655727531464,29.6302405956967,23,29.6264246892347,300,-0,35.6513662440947,30.335900712252,23,30.3241649729975
2025-12-31T00:45:00+00:00,2025-12-31T00:45:00+00:00,2025-12-31,1,83.36,83.36,0.25,0.343,0.593,588.446328491355,588.446328491355,0,0,150.134547747856,0,-0,0,791.675876239211,16.4985252608252,300,-0,35.6513662440947,30.335900712252,23,30.3241649729975,300,-0,35.8841584765347,30.5275960237974,23,30.5242309858102
2025-12-31T01:00:00+00:00,2025-12-31T01:00:00+00:00,2025-12-31,2,79.28,79.28,0.25,0.391,0.641,630.646276857768,630.646276857768,-0,0,157.745966968247,0,-0,0,841.487243826015,16.6782771726316,300,-0,35.8841584765347,30.5275960237974,23,30.5242309858102,300,-0,36.5702301578639,30.9091054469579,23,30.9027390777288
2025-12-31T01:15:00+00:00,2025-12-31T01:15:00+00:00,2025-12-31,2,79.28,79.28,0.23,0.345,0.575,572.621347853949,572.621347853949,-0,0,152.677053675424,0,-0,0,778.393401529373,15.4277572183122,300,-0,36.5702301578639,30.9091054469579,23,30.9027390777288,300,-0,36.0035253567251,30.6464274470472,23,30.6506672047951
2025-12-31T01:30:00+00:00,2025-12-31T01:30:00+00:00,2025-12-31,2,79.28,79.28,0.21,0.4035,0.6135,606.469223106177,606.469223106177,-0,0,154.998086808707,0,-0,0,814.562309914884,16.144624982513,300,-0,36.0035253567251,30.6464274470472,23,30.6506672047951,300,-0,36.2816843779542,30.7680311747214,23,30.7660898082703
2025-12-31T01:45:00+00:00,2025-12-31T01:45:00+00:00,2025-12-31,2,79.28,79.28,0.19,0.379,0.569,567.346354308148,567.346354308148,-0,0,150.524125017314,0,-0,0,770.965479325461,15.2805358002306,300,-0,36.2816843779542,30.7680311747214,23,30.7660898082703,300,-0,35.8279670099766,30.5398621385284,23,30.543604264912
2025-12-31T02:00:00+00:00,2025-12-31T02:00:00+00:00,2025-12-31,3,76.51,76.51,0.17,0.4046,0.5746,572.269681617563,572.269681617563,-0,0,149.055859498328,0,-0,0,774.420541115891,14.8127289001942,300,-0,35.8279670099766,30.5398621385284,23,30.543604264912,300,-0,35.7365908778447,30.4693608309243,23,30.4705889225784
2025-12-31T02:15:00+00:00,2025-12-31T02:15:00+00:00,2025-12-31,3,76.51,76.51,0.16,0.316,0.476,485.583954348221,485.583954348221,-0,0,135.786079737539,0,-0,0,674.46503408576,12.9008299394754,300,-0,35.7365908778447,30.4693608309243,23,30.4705889225784,300,-0,34.4832793979737,29.7995971946099,23,29.8106963490646
